State,Segment,Clicks,Quotes,Quotes to Binds,Binds,Target CPB,CPB,Performance,Scored Policies,ROE,Combined Ratio,Avg. MRLTV,Avg. Profit
CO,MCR,1250,528,2%,13,2000,3307.768462,60%,13,-92%,139%,1543.112244,1737.990094
CO,SCH,1422,373,0%,1,1500,19568.68,8%,1,-5155%,2257%,339.2758484,378.9599915
CO,SCR,96,51,6%,3,1000,572.4933333,175%,3,-97%,140%,300.2713013,341.0940755
DE,MCH,3338,1017,8%,78,1829.462183,2254.880128,81%,74,-19%,110%,1268.734643,1661.309782
DE,SCH,1944,578,7%,38,645.5311263,977.3392105,66%,37,-10%,105%,698.5968418,909.9365869
DE,MCR,661,261,4%,11,1240.158114,1902.664545,65%,11,-25%,112%,1109.666336,1384.203981
DE,SCR,201,75,3%,2,463.0054626,1324.58,35%,2,-111%,150%,501.5013428,585.2168884
TN,MCH,4487,1524,5%,82,2983.536585,1691.128049,176%,79,-25%,112%,894.1577925,1173.714694
TN,MCR,1861,736,5%,36,2472.222222,1454.405,170%,34,-57%,128%,524.9790564,691.2983524
TN,SCH,2977,797,7%,53,1414.057378,630.3541509,224%,49,-32%,116%,342.7314835,448.7306131
TN,SCR,70,29,7%,2,952.4235229,305.465,312%,2,33%,84%,883.6653442,1094.362762
UT,MCH,2213,904,10%,87,2258.1162,1468.439885,154%,84,-7%,103%,1127.09309,1416.531339
UT,MCR,1237,543,4%,24,1546.16333,1984.398333,78%,24,-26%,113%,1045.372232,1356.688396
UT,SCH,1425,439,7%,29,854.1104273,999.6848276,85%,29,-53%,125%,480.1109713,589.70212
UT,SCR,342,157,4%,7,650,962.5714286,68%,7,-65%,132%,348.5959244,454.7773939
IN,MCH,4208,1607,9%,146,765.0741677,1162.681575,66%,143,-23%,112%,573.0560141,804.8134639
IN,MCR,724,325,10%,31,505.549469,612.6109677,83%,31,-10%,105%,446.1033234,602.4621014
IN,SCH,750,202,6%,13,233.4945221,403.4453846,58%,12,1%,99%,403.9484342,561.3559163
IN,SCR,193,63,3%,2,162.4347382,1025.74,16%,1,-180%,191%,158.7894135,214.8447266
NH,MCH,2523,849,7%,56,2951.785714,2723.446607,108%,56,-25%,113%,1630.613026,1987.314553
NH,MCR,773,285,6%,18,2416.666667,1574.77,153%,18,-15%,107%,1082.695283,1338.794894
NH,SCR,419,158,2%,3,1200,2467.34,49%,3,-79%,138%,831.9831136,1041.806458
NH,SCH,591,173,5%,9,1410.93042,800.3677778,176%,8,10%,95%,930.0491104,1121.986599
WV,MCH,3887,1340,5%,64,2344.467585,2237.786406,105%,62,-48%,122%,1136.637003,1359.558802
WV,MCR,727,282,4%,11,1732.271729,1781.185455,97%,11,-69%,132%,747.1090379,902.2311485
